SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,OPINION_TYPE,OSOPINION_TYPE,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_QOQ,OPERATE_INCOME,OPERATE_INCOME_QOQ,INTEREST_INCOME,INTEREST_INCOME_QOQ,EARNED_PREMIUM,EARNED_PREMIUM_QOQ,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_QOQ,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_QOQ,TOI_OTHER,TOI_OTHER_QOQ,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_QOQ,OPERATE_COST,OPERATE_COST_QOQ,INTEREST_EXPENSE,INTEREST_EXPENSE_QOQ,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_QOQ,RESEARCH_EXPENSE,RESEARCH_EXPENSE_QOQ,SURRENDER_VALUE,SURRENDER_VALUE_QOQ,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_QOQ,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_QOQ,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_QOQ,REINSURE_EXPENSE,REINSURE_EXPENSE_QOQ,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_QOQ,OPERATE_TAX_ADD,OPERATE_TAX_ADD_QOQ,SALE_EXPENSE,SALE_EXPENSE_QOQ,MANAGE_EXPENSE,MANAGE_EXPENSE_QOQ,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_QOQ,FINANCE_EXPENSE,FINANCE_EXPENSE_QOQ,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_QOQ,FE_INTEREST_INCOME,FE_INTEREST_INCOME_QOQ,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_QOQ,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_QOQ,OTHER_INCOME,OTHER_INCOME_QOQ,TOC_OTHER,TOC_OTHER_QOQ,INVEST_INCOME,INVEST_INCOME_QOQ,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_QOQ,ACF_END_INCOME,ACF_END_INCOME_QOQ,EXCHANGE_INCOME,EXCHANGE_INCOME_QOQ,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_QOQ,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_QOQ,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_QOQ,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_QOQ,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_QOQ,OPERATE_PROFIT,OPERATE_PROFIT_QOQ,NONBUSINESS_INCOME,NONBUSINESS_INCOME_QOQ,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_QOQ,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_QOQ,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_QOQ,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_QOQ,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_QOQ,TOTAL_PROFIT,TOTAL_PROFIT_QOQ,EFFECT_TP_OTHER,EFFECT_TP_OTHER_QOQ,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_QOQ,INCOME_TAX,INCOME_TAX_QOQ,NETPROFIT,NETPROFIT_QOQ,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_QOQ,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_QOQ,NETPROFIT_OTHER,NETPROFIT_OTHER_QOQ,NETPROFIT_BALANCE,NETPROFIT_BALANCE_QOQ,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_QOQ,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_QOQ,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_QOQ,MINORITY_INTEREST,MINORITY_INTEREST_QOQ,PARENT_NETPROFIT,PARENT_NETPROFIT_QOQ,BASIC_EPS,BASIC_EPS_QOQ,DILUTED_EPS,DILUTED_EPS_QOQ,UNABLE_OCI,UNABLE_OCI_QOQ,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_QOQ,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_QOQ,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_QOQ,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_QOQ,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_QOQ,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_QOQ,ABLE_OCI,ABLE_OCI_QOQ,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_QOQ,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_QOQ,HMI_AFA,HMI_AFA_QOQ,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_QOQ,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_QOQ,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_QOQ,FINANCE_OCI_AMT,FINANCE_OCI_AMT_QOQ,CONVERT_DIFF,CONVERT_DIFF_QOQ,ABLE_OCI_OTHER,ABLE_OCI_OTHER_QOQ,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_QOQ,OCI_OTHER,OCI_OTHER_QOQ,OCI_BALANCE,OCI_BALANCE_QOQ,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_QOQ,PARENT_OCI,PARENT_OCI_QOQ,MINORITY_OCI,MINORITY_OCI_QOQ,PARENT_OCI_OTHER,PARENT_OCI_OTHER_QOQ,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_QOQ,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_QOQ,PARENT_TCI,PARENT_TCI_QOQ,MINORITY_TCI,MINORITY_TCI_QOQ,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_QOQ,TCI_OTHER,TCI_OTHER_QOQ,TCI_BALANCE,TCI_BALANCE_QOQ,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_QOQ,PRECOMBINE_TCI,PRECOMBINE_TCI_QOQ,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_QOQ
000488.SZ,000488,ST晨鸣,10004336,通用,2026-03-31 00:00:00,一季度,2026一季度,058001001,2026-04-30 00:00:00,2026-04-30 00:00:00,CNY,,,2981106295.86,5.016990497933,2981106295.86,5.016990497933,,,,,,,,,,,3781529473.0,-0.394355783414,3237966713.35,2.152255614269,,,,,32668432.91,-14.60456470545,,,,,,,,,,,,,49408983.99,18.035359230641,30444387.32,2.62424288149,107990910.19,1.568583933293,,,323050045.24,-21.332316679984,319720532.72,-26.759435175365,1949830.55,-96.41673539552,,,,,35458271.28,-17.603463947112,,,78350893.74,109.401147542656,79199989.71,125.643102893605,-1268119.55,99.751157086789,,,,,-6261055.49,75.32753978872,-2260721.44,-109.184689459067,12937655.39,101.716446321356,-2233604.32,98.068123723777,-684431737.98,73.859929958296,414818.34,49.867596315299,,,690450.53,-97.898195254694,,,,,0.0,,-684707370.17,74.170734989363,,,0.0,,-104008546.88,16.501505521247,-580698823.29,77.014172741196,-580698823.29,-253.619543077462,,,,,,,,,,,,,-68227747.47,71.359159654672,-512471075.82,77.602922689209,-0.17,78.205128205128,-0.17,78.205128205128,,,,,,,,,,,,,,,23604735.16,293.73665583287,,,,,,,,,,,,,,,23604735.16,293.73665583287,,,,,,,,,23604735.16,293.73665583287,23604735.16,293.73665583287,,,,,,,-557094088.13,78.054358793159,-488866340.66,78.747711696455,-68227747.47,71.359159654672,,,,,,,,,,,-587285923.37,68.411084081225
000488.SZ,000488,ST晨鸣,10004336,通用,2025-12-31 00:00:00,四季度,2025四季度,058001001,2026-03-31 00:00:00,2026-03-31 00:00:00,CNY,带强调事项段的无保留意见,,2838689512.74,128.699758975094,2838689512.74,128.699758975094,,,,,,,,,,,3796501195.03,63.573429128445,3169745683.91,85.864286667687,,,,,38255479.11,107.477816493969,,,,,,,,,,,,,41859476.95,31.069758551771,29665882.51,26.011404163895,106323142.46,-12.110075880692,,,410651530.09,-2.383313106078,436534772.07,11.433610145842,54414919.5,574.922709948415,,,,,43033691.68,34.406588721274,,,-833418403.28,-192.69936956969,-308854938.65,-7.679244882118,-509606455.59,-229824.40680728242,,,,,-25376697.08,-513.480126607995,24614021.52,573.96014373392,-753746576.81,9.772548318623,-115618393.76,42.19080312,-2618324040.02,-10.622242956985,276789.88,282.690370187662,,,32850364.98,2218.700344851495,,,,,,,-2650897615.12,-11.934871945765,,,,,-124563379.89,-7.002668843711,-2526334235.23,-12.189848048264,378011034.05,116.78677345192,,,,,,,,,,,,,-238218385.52,-133.604288693615,-2288115849.71,-6.430756926438,-0.78,-5.405405405405,-0.78,-5.405405405405,,,,,,,,,,,,,,,-12183928.26,-145.935309384357,0.0,100.0,,,,,,,,,,,,,-12183928.26,-139.698143807054,,,,,,,,,-12183928.26,-145.935309384357,-12183928.26,-145.935309384357,,,,,,,-2538518163.49,-14.074582949326,-2300299777.97,-8.334067028891,-238218385.52,-133.604288693615,,,,,,,,,,,-1859151877.45,14.117058362128
000488.SZ,000488,ST晨鸣,10004336,通用,2025-09-30 00:00:00,三季度,2025三季度,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,,,1241229778.93,-5.211525411105,1241229778.93,-5.211525411105,,,,,,,,,,,2320976710.74,-5.38203282249,1705408683.26,-9.211115809372,,,,,18438346.69,15.526297086491,,,,,,,,,,,,,31936792.6,-1.48718237356,23542220.41,-18.899142310583,120973073.45,-14.859642357287,,,420677594.33,18.477263231381,391744260.55,13.256404922621,8062392.73,-28.846983541248,,,,,32017546.23,616.936763468497,,,-284735291.54,25.000054038968,-286828663.21,8.005379510748,-221640.87,99.730477068476,,,,,6137343.84,104.760267936361,-5193268.22,68.742468184594,-835384977.37,-147.920911314793,-200000000.0,16.771834144633,-2366905578.87,-5.094535436709,72327.37,-86.965741775558,,,1416757.67,-94.767850307796,,,,,,,-2368250009.17,-3.930278490876,,,,,-116411470.14,-145.378208853665,-2251838539.03,11.178036826485,-2251838539.03,11.178036826485,,,,,,,,,,,,,-101975176.42,20.893116649584,-2149863362.61,10.657593611242,-0.74,9.756097560976,-0.74,9.756097560976,,,,,,,,,,,,,,,26524101.88,267.117522564701,-4167328.73,-309.166366075428,,,,,,,,,,,,,30691430.61,271.807213541972,,,,,,,,,26524101.88,267.117522564701,26524101.88,267.117522564701,,,,,,,-2225314437.15,12.770350892391,-2123339260.73,12.338060278193,-101975176.42,20.893116649584,,,,,,,,,,,-2164751046.01,0.874655223642
000488.SZ,000488,ST晨鸣,10004336,通用,2025-06-30 00:00:00,二季度,2025二季度,058001001,2025-08-30 00:00:00,2025-08-30 00:00:00,CNY,,,1309473313.41,64.267799683055,1309473313.41,64.267799683055,,,,,,,,,,,2452997860.74,-2.485067745933,1878433354.99,1.604471290624,,,,,15960302.68,-22.548681077799,,,,,,,,,,,,,32418921.08,12.691365657826,29028324.83,31.439444961578,142086639.99,-2.469618590583,,,355070317.17,-21.024481357583,345891484.74,-19.344956255167,11331062.45,-25.116594194852,,,,,-6193706.56,-121.366064934046,,,-379647328.93,-644.078935474148,-311788517.29,-812.035593557765,-82234512.94,-3030.185136236125,,,,,-128928537.68,-22963.14439282413,-16614453.92,-344.335799636377,-336956238.56,-98.951306157673,-240303265.06,-92988.75008880693,-2252168078.04,-18.300442103023,554902.08,7.777045109836,,,27077926.92,3179.005719304378,,,,,,,-2278691102.88,-19.781353007395,,,,,256536062.31,201.424728518457,-2535227165.19,-53.702014503041,-2535227165.19,-53.702014503041,,,,,,,,,,,,,-128908095.1,34.832007614677,-2406319070.09,-65.766224157841,-0.82,-67.34693877551,-0.82,-67.34693877551,,,,,,,,,,,,,,,-15871526.5,-10595.322860202798,1992351.26,134.423064270219,,,,,,,,,,,,,-17863877.76,-416.766800285695,,,,,,,,,-15871526.5,-10595.322860202798,-15871526.5,-10595.322860202798,,,,,,,-2551098691.69,-54.650336447227,-2422190596.59,-66.842524112678,-128908095.1,34.832007614677,,,,,,,,,,,-2183852223.56,-49.424235427817
000488.SZ,000488,ST晨鸣,10004336,通用,2025-03-31 00:00:00,一季度,2025一季度,058001001,2025-04-30 00:00:00,2026-04-30 00:00:00,CNY,,,797157638.89,-72.556557712086,797157638.89,-72.556557712086,,,,,,,,,,,2515509988.1,-52.28181461153,1848770365.25,-54.551778344446,,,,,20606883.01,-88.457027817822,,,,,,,,,,,,,28767883.76,-45.687166902049,22084941.73,-76.495640391576,145684491.27,-44.153437862069,,,449595423.08,-27.181407302896,428852888.4,-31.732132813363,15131606.7,-78.524433393286,,,,,28988522.59,-49.436098927979,,,-51022453.51,94.692516489188,-34186003.21,94.949634026933,-2627145.34,95.976117819972,,,,,-559024.11,99.711628153675,6799844.29,-81.723323074632,-169366185.66,94.330206600989,-258144.26,99.921706607292,-1903769789.87,71.772576508867,514861.1,-71.686663264007,,,-879437.37,-102.587610115392,,,,,0.0,,-1902375491.4,71.927146017529,,,0.0,,-252932461.4,-222.161922011157,-1649443030.0,76.381236407789,-1649443030.0,47.944707451928,,,,,,,,,,,,,-197808909.53,30.084815809267,-1451634120.47,78.336037137177,-0.49,78.583916083916,-0.49,78.583916083916,,,,,,,,,,,,,,,-148396.89,99.846164474775,-5787838.19,-314.526508597179,,,,,,,,,,,,,5639441.3,105.687064648565,,,,,,,,,-148396.89,99.846164474775,-148396.89,99.846164474775,,,,,,,-1649591426.89,76.700941365806,-1451782517.36,78.641307223004,-197808909.53,30.084815809267,,,,,,,,,,,-1461511392.25,76.148115678956
000488.SZ,000488,ST晨鸣,10004336,通用,2024-12-31 00:00:00,四季度,2024四季度,058001001,2025-04-01 00:00:00,2026-03-31 00:00:00,CNY,保留意见,,2904729044.29,-51.098955275935,2904729044.29,-51.098955275935,,,,,,,,,,,5271596075.21,-24.176820990523,4067860738.89,-30.953291617354,,,,,178523197.36,-38.417865260441,,,,,,,,,,,,,52967010.04,-5.831182890773,93961044.24,96.135319021835,260865639.16,50.904598804018,,,617418445.52,24.95604046833,628191426.03,62.38255316919,70459638.98,781.315772364916,,,,,57330470.9,-26.993421279816,,,-961330419.7,-7446.782009853263,-676901503.62,-2683.934808812513,-65288823.64,-397.951397522726,,,,,-193855300.76,-5122.249518171277,37205036.33,3741.892330888985,-2987166793.23,-3351.943526437727,-329713978.5,,-6744398015.88,-571.380644549619,1818440.21,214.766650366117,,,33986471.33,1205.086040154106,,,,,,,-6776566047.0,-573.22479173438,,,,,207046890.91,221.209318989723,-6983612937.91,-735.594957972746,-3168636557.9,-279.129936749006,,,,,,,,,,,,,-282926966.18,-191.61534724532,-6700685971.73,-807.03672620418,-2.288,-807.936507936508,-2.288,-807.936507936508,,,,,,,,,,,,,,,-96464642.86,-252.698629643058,2697959.44,-88.208624327397,,,,,,,,,,,,,-99162602.3,-346.107246373641,,,,,,,,,-96464642.86,-252.698629643058,-96464642.86,-252.698629643058,,,,,,,-7080077580.77,-816.405632524209,-6797150614.59,-906.133410235259,-282926966.18,-191.61534724532,,,,,,,,,,,-6127446253.63,-662.049890057194
000488.SZ,000488,ST晨鸣,10004336,通用,2024-09-30 00:00:00,三季度,2024三季度,058001001,2024-10-31 00:00:00,2025-10-31 00:00:00,CNY,,,5940014289.43,-16.607435599159,5940014289.43,-16.607435599159,,,,,,,,,,,6952486223.97,-4.032110410552,5891462220.54,-5.8920605066,,,,,289894460.65,-4.671271544531,,,,,,,,,,,,,56246867.77,-12.265715797721,47906233.67,-4.191747590772,172867918.69,32.27471119413,,,494108522.65,13.491371310857,386858941.29,-17.682246482326,7994823.33,-85.142660292733,,,,,78527814.76,-15.283743021058,,,13085054.36,118.870527691438,26196539.53,185.490363091538,-13111485.17,-231.563253606299,,,,,3859929.7,64.169642745763,-1021585.29,-332.257923045449,-86535795.57,-54.406999995716,0.0,,-1004556516.58,-1167.374245286782,577710.57,-50.844449592007,,,2604155.61,354.744718269739,,,,,,,-1006582961.62,-1179.659658839533,,,,,-170817634.02,-358.545031655763,-835765327.6,-1918.361286717559,-835765327.6,-1918.361286717559,,,,,,,,,,,,,-97020602.26,-718.178775356414,-738744725.34,-2399.982526528672,-0.252,-2420.0,-0.252,-2420.0,,,,,,,,,,,,,,,63173221.06,686.055352936164,22880786.05,,,,,,,,,,,,,,40292435.01,378.028467709222,,,,,,,,,63173221.06,686.055352936164,63173221.06,686.055352936164,,,,,,,-772592106.54,-1380.415779920299,-675571504.28,-1575.134426957217,-97020602.26,-718.178775356414,,,,,,,,,,,-804074160.18,-1711.61171751102
000488.SZ,000488,ST晨鸣,10004336,通用,2024-06-30 00:00:00,二季度,2024二季度,058001001,2024-08-15 00:00:00,2025-08-30 00:00:00,CNY,,,7122954345.04,5.341453315391,7122954345.04,5.341453315391,,,,,,,,,,,7244596347.5,4.347413660369,6260324317.22,5.656247518514,,,,,304099787.49,-1.206740987134,,,,,,,,,,,,,64110476.63,21.797531652286,50002199.67,1.420983663455,130688562.56,-30.018332278345,,,435371003.93,3.392789060508,469958088.94,22.177192644611,53810597.91,7.162417842073,,,,,92695094.85,37.83650301122,,,5978445.11,-96.590635509494,-30642681.33,-281.152014021943,9965917.39,129.857809330213,,,,,2351183.59,151.416940560773,439849.49,-97.658252920883,-56043958.87,17.995643976741,,,-79262816.04,-1159.270481053244,1175270.27,-25.437263808644,,,572663.19,29.888642192217,,,,,,,-78660208.96,-1012.732308030801,,,,,-37252095.7,37.019755652888,-41408113.26,-161.103688811871,-41408113.26,-161.103688811871,,,,,,,,,,,,,-11858117.71,-223.899429910612,-29549995.55,-150.776502688265,-0.01,-150.0,-0.01,-150.0,,,,,,,,,,,,,,,-10779394.94,-126.630976773808,,,,,,,,,,,,,,,8428877.72,277.212617352212,,,,,,,,,-10779394.94,-126.630976773808,-10779394.94,-126.630976773808,,,,,,,-52187508.2,-182.823382987095,-40329390.49,-175.466904514849,-11858117.71,-223.899429910612,,,,,,,,,,,-44384464.53,80.402529554678
000488.SZ,000488,ST晨鸣,10004336,通用,2024-03-31 00:00:00,一季度,2024一季度,058001001,2024-04-16 00:00:00,2025-04-30 00:00:00,CNY,,,6761777174.0,-1.814171783812,6761777174.0,-1.814171783812,,,,,,,,,,,6942765607.09,-6.036466428445,5925181391.78,-2.954946827171,,,,,307814308.92,-9.556871258528,,,,,,,,,,,,,52636926.02,4.853810464391,49301631.54,-19.702836063524,186746853.59,9.966888507981,,,421084495.24,-36.337086494436,384652878.96,-36.871507140265,50214057.31,-38.931639768473,,,,,67250033.79,-66.380039637812,,,175353651.0,420.035292395841,-8039490.86,94.098711951373,-33377925.62,-1327.001698408568,,,,,-4572780.03,-37.247043863957,18782963.11,231.427709690289,-68342660.79,65.866204936849,,,7482773.99,101.298256104931,1576216.66,0.433392716609,,,440887.81,-97.090750568874,,,,,0.0,,8618102.84,101.460803212454,,,0.0,,-59148858.64,28.518275297688,67766961.48,113.360740356443,67766961.48,113.360740356443,,,,,,,,,,,,,9570760.51,65.395285138298,58196200.97,111.344372138903,0.02,111.627906976744,0.02,111.627906976744,,,,,,,,,,,,,,,-4756364.33,-113.965515377567,,,,,,,,,,,,,,,-4756364.33,-114.454302526185,,,,,,,,,-4756364.33,-113.965515377567,-4756364.33,-113.965515377567,,,,,,,63010597.15,113.317208059698,53439836.64,111.15797925471,9570760.51,65.395285138298,,,,,,,,,,,-226480578.98,67.20083246205
000488.SZ,000488,ST晨鸣,10004336,通用,2023-12-31 00:00:00,四季度,2023四季度,058001001,2024-03-29 00:00:00,2025-04-01 00:00:00,CNY,标准无保留意见,,6886713996.15,-3.775093990844,6886713996.15,-3.775093990844,,,,,,,,,,,7388787270.12,-6.942964841645,6105598583.4,-10.778030849147,,,,,340340181.95,25.459616214484,,,,,,,,,,,,,50200298.67,-30.067815012288,61398969.93,-2.439033353183,169820985.32,-11.644790335998,,,661428250.85,32.627421156229,609317380.37,37.790738595232,82225979.41,237.78980253888,,,,,200030080.54,586.479097759749,,,-54791973.0,-109.09235683001,-136232815.51,-156.473430825701,-2339024.94,92.262699211576,,,,,-3331787.63,-38.379419469142,-14291478.68,-183.382603794469,-200219930.61,-161.197650831713,-1692813.46,,-576371176.81,-170.16812643913,1569414.93,221.239906696804,,,15154692.66,1878.499606282996,,,,,,,-589956454.54,-176.1769530445,,,,,-82746826.39,6.841789056687,-507209628.15,-306.445956608837,-507209628.15,-306.445956608837,,,,,,,,,,,,,5786598.15,112.980795429251,-512996226.3,-539.540432603455,-0.172,-514.285714285714,-0.172,-514.285714285714,,,,,,,,,,,,,,,34057921.97,289.893224282466,1151703.76,123.122793195388,,,,,,,,,,,,,32906218.21,139.911046318757,,,,,,,,,34057921.97,289.893224282466,34057921.97,289.893224282466,,,,,,,-473151706.18,-307.691829533446,-478938304.33,-570.049320049215,5786598.15,112.980795429251,,,,,,,,,,,-690507095.09,-57.014124500235
