SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,OPINION_TYPE,OSOPINION_TYPE,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_QOQ,OPERATE_INCOME,OPERATE_INCOME_QOQ,INTEREST_INCOME,INTEREST_INCOME_QOQ,EARNED_PREMIUM,EARNED_PREMIUM_QOQ,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_QOQ,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_QOQ,TOI_OTHER,TOI_OTHER_QOQ,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_QOQ,OPERATE_COST,OPERATE_COST_QOQ,INTEREST_EXPENSE,INTEREST_EXPENSE_QOQ,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_QOQ,RESEARCH_EXPENSE,RESEARCH_EXPENSE_QOQ,SURRENDER_VALUE,SURRENDER_VALUE_QOQ,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_QOQ,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_QOQ,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_QOQ,REINSURE_EXPENSE,REINSURE_EXPENSE_QOQ,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_QOQ,OPERATE_TAX_ADD,OPERATE_TAX_ADD_QOQ,SALE_EXPENSE,SALE_EXPENSE_QOQ,MANAGE_EXPENSE,MANAGE_EXPENSE_QOQ,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_QOQ,FINANCE_EXPENSE,FINANCE_EXPENSE_QOQ,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_QOQ,FE_INTEREST_INCOME,FE_INTEREST_INCOME_QOQ,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_QOQ,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_QOQ,OTHER_INCOME,OTHER_INCOME_QOQ,TOC_OTHER,TOC_OTHER_QOQ,INVEST_INCOME,INVEST_INCOME_QOQ,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_QOQ,ACF_END_INCOME,ACF_END_INCOME_QOQ,EXCHANGE_INCOME,EXCHANGE_INCOME_QOQ,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_QOQ,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_QOQ,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_QOQ,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_QOQ,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_QOQ,OPERATE_PROFIT,OPERATE_PROFIT_QOQ,NONBUSINESS_INCOME,NONBUSINESS_INCOME_QOQ,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_QOQ,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_QOQ,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_QOQ,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_QOQ,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_QOQ,TOTAL_PROFIT,TOTAL_PROFIT_QOQ,EFFECT_TP_OTHER,EFFECT_TP_OTHER_QOQ,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_QOQ,INCOME_TAX,INCOME_TAX_QOQ,NETPROFIT,NETPROFIT_QOQ,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_QOQ,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_QOQ,NETPROFIT_OTHER,NETPROFIT_OTHER_QOQ,NETPROFIT_BALANCE,NETPROFIT_BALANCE_QOQ,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_QOQ,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_QOQ,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_QOQ,MINORITY_INTEREST,MINORITY_INTEREST_QOQ,PARENT_NETPROFIT,PARENT_NETPROFIT_QOQ,BASIC_EPS,BASIC_EPS_QOQ,DILUTED_EPS,DILUTED_EPS_QOQ,UNABLE_OCI,UNABLE_OCI_QOQ,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_QOQ,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_QOQ,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_QOQ,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_QOQ,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_QOQ,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_QOQ,ABLE_OCI,ABLE_OCI_QOQ,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_QOQ,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_QOQ,HMI_AFA,HMI_AFA_QOQ,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_QOQ,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_QOQ,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_QOQ,FINANCE_OCI_AMT,FINANCE_OCI_AMT_QOQ,CONVERT_DIFF,CONVERT_DIFF_QOQ,ABLE_OCI_OTHER,ABLE_OCI_OTHER_QOQ,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_QOQ,OCI_OTHER,OCI_OTHER_QOQ,OCI_BALANCE,OCI_BALANCE_QOQ,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_QOQ,PARENT_OCI,PARENT_OCI_QOQ,MINORITY_OCI,MINORITY_OCI_QOQ,PARENT_OCI_OTHER,PARENT_OCI_OTHER_QOQ,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_QOQ,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_QOQ,PARENT_TCI,PARENT_TCI_QOQ,MINORITY_TCI,MINORITY_TCI_QOQ,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_QOQ,TCI_OTHER,TCI_OTHER_QOQ,TCI_BALANCE,TCI_BALANCE_QOQ,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_QOQ,PRECOMBINE_TCI,PRECOMBINE_TCI_QOQ,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_QOQ
600569.SH,600569,安阳钢铁,10002635,通用,2026-03-31 00:00:00,一季度,2026一季度,058001001,2026-04-30 00:00:00,2026-04-30 00:00:00,CNY,,,7060779634.22,5.328432558753,7060779634.22,5.328432558753,,,,,,,,,,,7922861631.68,2.445277529923,7224749175.54,2.27054224344,,,,,222906202.12,-8.092878561127,,,,,,,,,,,,,46742276.77,-5.697366493502,21863525.22,-42.57707351536,174240214.58,14.753378139377,,,232360237.45,24.000852796049,219899955.91,12.247929064215,37109533.69,149.948577973752,,,,,18212553.86,-29.235106052297,,,,,,,,,,,,,,,,,23348.93,100.121006957192,,,-843846094.67,3.611655769705,9288195.03,-71.45559376396,,,117291.48,-98.977280070357,,,,,0.0,,-834675191.12,2.307928890977,,,0.0,,-1851853.46,-101.425534090939,-832823337.66,15.389272478045,-832823337.66,15.389272478045,,,,,,,,,,,,,-145363407.41,66.11416279787,-687459930.25,-23.795253183796,-0.239,-23.834196891192,-0.239,-23.834196891192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-832823337.66,15.389272478045,-687459930.25,-23.795253183796,-145363407.41,66.11416279787,,,,,,,,,,,-700418901.35,19.311766038275
600569.SH,600569,安阳钢铁,10002635,通用,2025-12-31 00:00:00,四季度,2025四季度,058001001,2026-04-23 00:00:00,2026-04-23 00:00:00,CNY,标准无保留意见,,6703583697.86,-13.78595471965,6703583697.86,-13.78595471965,,,,,,,,,,,7733749981.17,-0.226160278501,7064350121.8,1.766716335155,,,,,242534200.43,-17.951531386356,,,,,,,,,,,,,49566247.55,-6.415912496416,38074557.6,8.116446212244,151838854.25,-30.488764843697,,,187385999.54,-9.629602910445,195905579.5,-2.543616128599,14846867.3,-25.877883124873,,,,,25736707.63,33.758536804747,,,,,,,,,,,,,,,0.0,-100.0,-19295526.92,,-192533336.29,,-875464872.24,-2031.292451661658,32539457.83,1326.024886897886,,,11468582.61,2633.161237286995,,,,,,,-854393997.02,-1910.435286185796,,,,,129905939.94,2771.386720441442,-984299936.96,-2406.849233734394,-984299936.96,-2406.849233734394,,,,,,,,,,,,,-428979831.73,-2015.716954667599,-555320105.23,-2838.814008968661,-0.193,-2857.142857142857,-0.193,-2857.142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-984299936.96,-2406.849233734394,-555320105.23,-2838.814008968661,-428979831.73,-2015.716954667599,,,,,,,,,,,-868055808.09,-10567.601520591
600569.SH,600569,安阳钢铁,10002635,通用,2025-09-30 00:00:00,三季度,2025三季度,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,,,7775512303.2,-3.660817866452,7775512303.2,-3.660817866452,,,,,,,,,,,7751280298.28,-3.573865932807,6941709800.81,-4.162465029524,,,,,295598692.49,-14.626755208015,,,,,,,,,,,,,52964396.91,13.3880125464,35216249.64,9.267285711282,218437859.59,1.154307691123,,,207353298.84,34.440665637703,201018724.19,22.736056750307,20030279.66,17.177411604656,,,,,19241170.13,-3.785982223101,,,,,,,,,,,,,,,1857342.94,271.742637702131,0.0,100.0,0.0,100.0,45330517.99,-6.774068174697,2281829.59,-23.918609652194,,,419608.71,-84.717784901577,,,,,,,47192738.87,-3.447554892774,,,,,4524153.4,-56.035170317449,42668585.47,10.576366722567,42668585.47,10.576366722567,,,,,,,,,,,,,22392652.04,18.976844088168,20275933.43,2.577673491236,0.007,0.0,0.007,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42668585.47,10.576366722567,20275933.43,2.577673491236,22392652.04,18.976844088168,,,,,,,,,,,8292786.14,-19.308897573096
600569.SH,600569,安阳钢铁,10002635,通用,2025-06-30 00:00:00,二季度,2025二季度,058001001,2025-08-28 00:00:00,2025-08-28 00:00:00,CNY,,,8070976035.92,8.428765769572,8070976035.92,8.428765769572,,,,,,,,,,,8038567939.35,5.481642760336,7243205705.31,4.009441454074,,,,,346242775.72,45.540774448454,,,,,,,,,,,,,46710755.15,1.022193702853,32229454.05,29.426769836277,215945187.68,25.471848194546,,,154234061.44,-12.210334589182,163781312.12,-1.565867998708,17093976.89,2.083612964071,,,,,19998302.3,-9.714400699919,,,,,,,,,,,,,,,-1081468.74,-1535.709347209293,-2390015.29,-50701.18245102938,-310549.17,-100.174661180998,48624365.67,113.415839625828,2999195.44,264.812913832389,,,2745732.26,-4.93768043478,,,,,,,48877828.85,135.923856318997,,,,,10290392.19,104.683252198082,38587436.66,145.934033022133,38587436.66,145.934033022133,,,,,,,,,,,,,18821016.99,823.419453495283,19766419.67,8.061457391068,0.007,16.666666666667,0.007,16.666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38587436.66,145.934033022133,19766419.67,8.061457391068,18821016.99,823.419453495283,,,,,,,,,,,10277200.2,22.149531388103
600569.SH,600569,安阳钢铁,10002635,通用,2025-03-31 00:00:00,一季度,2025一季度,058001001,2025-04-30 00:00:00,2026-04-30 00:00:00,CNY,,,7443574570.49,36.081168730423,7443574570.49,36.081168730423,,,,,,,,,,,7620821717.4,13.761078482555,6963988657.23,14.081324947824,,,,,237900874.88,29.712390465127,,,,,,,,,,,,,46238112.08,7.171569119257,24901690.81,-35.052055177415,172106485.07,24.653434615247,,,175685897.33,-8.30799718334,166386708.34,-15.411248812399,16745074.35,-47.601543050821,,,,,22150046.58,-28.642179731354,,,,,,,,,,,,,,,75326.44,-96.059267360318,4723.24,100.07478069613,177800910.44,167.304151650924,22783859.79,101.549768506752,822118.77,114.032795664788,,,2888349.74,-84.268149287987,,,,,0.0,,20717628.82,101.38638395155,,,0.0,,5027471.51,101.204049388477,15690157.31,101.45708603562,15690157.31,101.45708603562,,,,,,,,,,,,,-2601674.16,-113.989345650045,18291831.47,101.669853975811,0.006,101.570680628272,0.006,101.570680628272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15690157.31,101.45708603562,18291831.47,101.669853975811,-2601674.16,-113.989345650045,,,,,,,,,,,8413622.29,100.771644078239
600569.SH,600569,安阳钢铁,10002635,通用,2024-12-31 00:00:00,四季度,2024四季度,058001001,2025-04-30 00:00:00,2026-04-23 00:00:00,CNY,标准无保留意见,,5469951970.53,-16.114731813785,5469951970.53,-16.114731813785,,,,,,,,,,,6698971053.24,-14.572618267796,6104407237.92,-13.918038265619,,,,,183406437.91,-33.227359565823,,,,,,,,,,,,,43144009.61,-5.798205698797,38340998.9,1.51526761537,138067984.73,-39.158019423279,,,191604384.17,16.015268096004,196700750.4,9.414213377605,31957189.82,4.897040693298,,,,,31040811.64,62.970950578608,,,-3587845.81,,,,,,,,,,0.0,,1911483.14,297.492809922772,-6316122.0,,-264175249.34,,-1470146005.08,-12.963685017238,-5858552.99,-125.467378672405,,,18359885.26,1974.309068582295,,,,,,,-1494364443.33,-16.809882468622,,,,,-417546950.99,-31.353716961958,-1076817492.34,-12.001238777566,-1076817492.34,-12.001238777566,,,,,,,,,,,,,18597540.05,138.079433091878,-1095415032.39,-20.033019207021,-0.382,-20.504731861199,-0.382,-20.504731861199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1076817492.34,-12.001238777566,-1095415032.39,-20.033019207021,18597540.05,138.079433091878,,,,,,,,,,,-1090350140.34,-16.910260891541
600569.SH,600569,安阳钢铁,10002635,通用,2024-09-30 00:00:00,三季度,2024三季度,058001001,2024-10-31 00:00:00,2025-10-31 00:00:00,CNY,,,6520753987.92,-28.668684176619,6520753987.92,-28.668684176619,,,,,,,,,,,7841714117.19,-21.688591445445,7091389548.9,-23.362595272774,,,,,274673034.82,-18.433091017577,,,,,,,,,,,,,45799562.45,-10.315709235468,37768701.99,60.76989109971,226928813.66,10.648441158269,,,165154455.37,14.741790797976,179776232.29,8.662932044052,30465292.07,-1.782636345601,,,,,19046837.2,-0.073476028723,,,0.0,,,,,,,,,,0.0,,480884.96,-75.333635706219,0.0,,0.0,,-1301432407.11,-48.736500127388,23004146.07,27.655745779931,,,885108.47,12.910878896708,,,,,,,-1279313369.51,-49.146641615269,,,,,-317879813.87,-388.529985389462,-961433555.64,-21.287954534676,-961433555.64,-21.287954534676,,,,,,,,,,,,,-48838804.94,-259.673390512334,-912594750.7,-17.133263658852,-0.317,-16.544117647059,-0.317,-16.544117647059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-961433555.64,-21.287954534676,-912594750.7,-17.133263658852,-48838804.94,-259.673390512334,,,,,,,,,,,-932638531.49,-17.287917257297
600569.SH,600569,安阳钢铁,10002635,通用,2024-06-30 00:00:00,二季度,2024二季度,058001001,2024-08-31 00:00:00,2025-08-28 00:00:00,CNY,,,9141502456.04,7.450598267128,9141502456.04,7.450598267128,,,,,,,,,,,10013501559.9,6.397651157796,9253170268.67,5.457885062409,,,,,336745670.82,53.682143763782,,,,,,,,,,,,,51067541.55,1.017929454805,23492397.57,-19.083942363867,205089932.84,22.017672910598,,,143935748.45,-15.49439455182,165443936.5,-5.085211340092,31018234.39,53.303539010563,,,,,19060842.35,-18.100039192856,,,0.0,-100.0,,,,,,,,,,,1949557.52,278.19326876969,,,,,-874991952.88,0.518516094662,18020454.88,5255.493843120682,,,783900.08,-68.167253674659,,,,,,,-857755398.08,2.713375203908,,,,,-65068639.26,80.636816732568,-792686758.82,-45.277694332866,-792686758.82,-45.277694332866,,,,,,,,,,,,,-13578653.92,77.987031275667,-779108104.9,-60.989125029503,-0.272,-61.904761904762,-0.272,-61.904761904762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-792686758.82,-45.277694332866,-779108104.9,-60.989125029503,-13578653.92,77.987031275667,,,,,,,,,,,-795170170.38,-59.621177704471
600569.SH,600569,安阳钢铁,10002635,通用,2024-03-31 00:00:00,一季度,2024一季度,058001001,2024-04-30 00:00:00,2025-04-30 00:00:00,CNY,,,8507632906.16,-11.682458235487,8507632906.16,-11.682458235487,,,,,,,,,,,9411393438.61,-9.837443786099,8774280143.39,-8.624846026315,,,,,219118280.48,-37.745443816998,,,,,,,,,,,,,50552948.2,-11.869573292113,29033047.65,-32.050811619894,168082153.96,-23.124746848806,,,170326864.93,3.185901521768,174307859.54,-12.117283269579,20233214.83,-49.449351963688,,,,,23273322.92,24.125937005353,,,419142.6,-97.029872794877,,,,,,,,,,,515492.39,-71.67800978662,,,,,-879552574.54,0.814917103883,336485.4,-59.012132728054,,,2462558.75,-91.793960794545,,,,,0.0,,-881678647.89,3.743431317202,,,0.0,,-336043089.41,-39.76237282232,-545635558.48,19.228327990983,-545635558.48,19.228327990983,,,,,,,,,,,,,-61684791.77,-305.072744116482,-483950766.71,26.70747339398,-0.168,26.95652173913,-0.168,26.95652173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-545635558.48,19.228327990983,-483950766.71,26.70747339398,-61684791.77,-305.072744116482,,,,,,,,,,,-498160821.65,22.521277615187
600569.SH,600569,安阳钢铁,10002635,通用,2023-12-31 00:00:00,四季度,2023四季度,058001001,2024-04-30 00:00:00,2025-04-30 00:00:00,CNY,标准无保留意见,,9633004651.38,-16.095869478706,9633004651.38,-16.095869478706,,,,,,,,,,,10438250459.85,-10.55878819612,9602479188.07,-11.51873204079,,,,,351971476.33,-12.235009415589,,,,,,,,,,,,,57361515.3,-11.403758564557,42727585.63,0.901160384351,218642732.31,25.384196103078,,,165067962.21,21.864740976542,198341455.55,32.486994014439,40025628.98,1.578598871179,,,,,18749766.15,2.957664995015,,,14111941.04,,,,,,,,,,-1942111.88,,1820113.58,,2729937.71,,-117002927.14,,-886779089.01,-430.023823039519,820939.03,-61.459116458567,,,30009102.91,4629.873798749911,,,,,,,-915967252.89,-452.407461180474,,,,,-240438883.96,-110.136352895595,-675528368.93,-1214.429197947557,-675528368.93,-1214.429197947557,,,,,,,,,,,,,-15228077.59,-194.221653697276,-660300291.34,-877.422481781808,-0.23,-900.0,-0.23,-900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-675528368.93,-1214.429197947557,-660300291.34,-877.422481781808,-15228077.59,-194.221653697276,,,,,,,,,,,-642964682.84,-624.330135636297
